34002,"",,Apo,AA,
34003,"",,Apo,AA,
34009,"",,Apo,AA,
34020,"",,Apo,AA,
34021,"",,Apo,AA,
34022,"",,Apo,AA,
34023,"",,Apo,AA,
34024,"",,Apo,AA,
34025,"",,Apo,AA,
34030,"",,Apo,AA,
34031,"",,Apo,AA,
34032,"",,Apo,AA,
34033,"",,Apo,AA,
34034,"",,Apo,AA,
34035,"",,Apo,AA,
34036,"",,Apo,AA,
34037,"",,Apo,AA,
34038,"",,Apo,AA,
34039,"",,Apo,AA,
34040,"",,Apo,AA,
34041,"",,Apo,AA,
34042,"",,Apo,AA,
34050,"",,Fpo,AA,
34051,"",,Fpo,AA,
34053,"",,Fpo,AA,
34054,"",,Fpo,AA,
34055,"",,Fpo,AA,
34058,"",,Fpo,AA,
34060,"",,Fpo,AA,
34071,"",,Fpo,AA,
34077,"",,Apo,AA,
34078,"",,Fpo,AA,
34079,"",,Fpo,AA,
34086,"",,Fpo,AA,
34090,"",,Fpo,AA,
34091,"",,Fpo,AA,
34092,"",,Fpo,AA,
34093,"",,Fpo,AA,
34095,"",,Fpo,AA,
34098,"",,Fpo,AA,
34099,"",,Fpo,AA,
34002,"",,Apo,AA,
34003,"",,Apo,AA,
34009,"",,Apo,AA,
34020,"",,Apo,AA,
34021,"",,Apo,AA,
34022,"",,Apo,AA,
34023,"",,Apo,AA,
34024,"",,Apo,AA,
34025,"",,Apo,AA,
34030,"",,Apo,AA,
34031,"",,Apo,AA,
34032,"",,Apo,AA,
34033,"",,Apo,AA,
34034,"",,Apo,AA,
34035,"",,Apo,AA,
34036,"",,Apo,AA,
34037,"",,Apo,AA,
34038,"",,Apo,AA,
34039,"",,Apo,AA,
34040,"",,Apo,AA,
34041,"",,Apo,AA,
34042,"",,Apo,AA,
34050,"",,Fpo,AA,
34051,"",,Fpo,AA,
34053,"",,Fpo,AA,
34054,"",,Fpo,AA,
34055,"",,Fpo,AA,
34058,"",,Fpo,AA,
34060,"",,Fpo,AA,
34071,"",,Fpo,AA,
34077,"",,Apo,AA,
34078,"",,Fpo,AA,
34079,"",,Fpo,AA,
34086,"",,Fpo,AA,
34090,"",,Fpo,AA,
34091,"",,Fpo,AA,
34092,"",,Fpo,AA,
34093,"",,Fpo,AA,
34095,"",,Fpo,AA,
34098,"",,Fpo,AA,
34099,"",,Fpo,AA,
