211,"ALACHUA",FL,29.7842,-82.4733
334,"ALFORD",FL,30.6412,-85.3756
486,"ALTAMONTE SPRINGS",FL,28.6617,-81.395
490,"ALTHA",FL,30.5532,-85.1713
512,"ALTOONA",FL,29.0591,-81.582
519,"ALTURAS",FL,28.0026,-81.6186
526,"ALVA",FL,26.5952,-81.6815
714,"ANNA MARIA",FL,27.5291,-82.7317
747,"ANTHONY",FL,29.3378,-82.0824
770,"APALACHICOLA",FL,29.7239,-84.9886
776,"APOLLO BEACH",FL,27.8458,-82.332
777,"APOPKA",FL,28.6843,-81.5306
820,"ARCADIA",FL,27.2217,-81.8575
838,"ARCHER",FL,29.5693,-82.5064
876,"ARGYLE",FL,30.7056,-86.0314
888,"ARIPEKA",FL,28.4302,-82.6616
1085,"ASTATULA",FL,28.7067,-81.7185
1087,"ASTOR",FL,29.174,-81.575
1144,"ATLANTIC BEACH",FL,30.3524,-81.5178
1203,"AUBURNDALE",FL,28.0868,-81.7429
1318,"AVON PARK",FL,27.5956,-81.5038
1349,"BABSON PARK",FL,27.9066,-81.5497
1364,"BAGDAD",FL,30.5986,-87.0315
1396,"BAKER",FL,30.8552,-86.6741
1448,"BALM",FL,27.7648,-82.2734
1503,"BARBERVILLE",FL,29.2005,-81.4065
1605,"BARTOW",FL,27.8911,-81.8432
1612,"BASCOM",FL,30.9404,-85.0639
1695,"BAY PINES",FL,27.8918,-82.7248
1900,"BELL",FL,29.7491,-82.8651
1920,"BELLE GLADE",FL,26.6459,-80.4303
1931,"BELLEAIR BEACH",FL,27.9229,-82.8393
1937,"BELLEVIEW",FL,29.0595,-82.0565
2246,"BEVERLY HILLS",FL,28.9173,-82.4594
2293,"BIG PINE KEY",FL,24.6875,-81.2494
2564,"BLOUNTSTOWN",FL,30.4426,-85.0461
2643,"BOCA GRANDE",FL,26.7545,-82.2611
2644,"BOCA RATON",FL,26.3675,-80.1147
2672,"BOKEELIA",FL,26.6244,-82.1281
2719,"BONIFAY",FL,30.8755,-85.6842
2722,"BONITA SPRINGS",FL,26.3455,-81.7851
2787,"BOSTWICK",FL,29.7996,-81.6273
2842,"BOWLING GREEN",FL,27.6019,-81.8507
2888,"BOYNTON BEACH",FL,26.5282,-80.0825
2904,"BRADENTON",FL,27.4882,-82.5752
2905,"BRADENTON BEACH",FL,27.4859,-82.7102
2924,"BRADLEY",FL,27.6993,-81.9494
2970,"BRANDON",FL,27.967,-82.3265
2985,"BRANFORD",FL,30.1019,-82.908
3153,"BRISTOL",FL,30.4193,-84.978
3223,"BRONSON",FL,29.431,-82.5498
3238,"BROOKER",FL,29.905,-82.2985
3288,"BROOKSVILLE",FL,28.5549,-82.3916
3400,"BRYANT",FL,26.6459,-80.4303
3413,"BRYCEVILLE",FL,30.5211,-81.9061
3543,"BUNNELL",FL,29.4022,-81.3343
3665,"BUSHNELL",FL,28.6763,-82.1492
3827,"CALLAHAN",FL,30.5563,-81.8376
3965,"CAMPBELLTON",FL,30.9356,-85.3468
3993,"CANAL POINT",FL,26.6459,-80.4303
4003,"CANDLER",FL,29.0607,-81.969
4058,"CANTONMENT",FL,30.6655,-87.3503
4077,"CAPE CANAVERAL",FL,28.3946,-80.6143
4079,"CAPE CORAL",FL,26.6523,-81.9741
4104,"CAPTIVA",FL,26.5215,-82.1802
4207,"CARRABELLE",FL,29.8538,-84.7358
4274,"CARYVILLE",FL,30.7074,-85.7937
4315,"CASSADAGA",FL,28.9664,-81.2371
4321,"CASSELBERRY",FL,28.6621,-81.3201
4459,"CEDAR KEY",FL,29.188,-82.9915
4516,"CENTER HILL",FL,28.6681,-82.0288
4592,"CENTURY",FL,30.9559,-87.3646
4758,"CHATTAHOOCHEE",FL,30.6405,-84.7808
4914,"CHIEFLAND",FL,29.4812,-82.8596
4954,"CHIPLEY",FL,30.6348,-85.5776
4973,"CHOKOLOSKEE",FL,25.8367,-81.122
4989,"CHRISTMAS",FL,28.4864,-81.009
5050,"CITRA",FL,29.4113,-82.0846
5067,"CLARCONA",FL,28.5663,-81.2608
5143,"CLARKSVILLE",FL,30.404,-85.1611
5232,"CLEARWATER",FL,27.9813,-82.7462
5237,"CLEARWATER BEACH",FL,27.9598,-82.8286
5251,"CLERMONT",FL,28.5513,-81.7599
5277,"CLEWISTON",FL,26.6301,-81.0909
5452,"COCOA",FL,28.3764,-80.7551
5453,"COCOA BEACH",FL,28.333,-80.6106
5519,"COLEMAN",FL,28.7755,-82.0597
5857,"COPELAND",FL,26.1433,-81.3891
5964,"CORTEZ",FL,27.4713,-82.6823
6012,"COTTONDALE",FL,30.8017,-85.2878
6160,"CRAWFORDVILLE",FL,30.1763,-84.375
6185,"CRESCENT CITY",FL,29.5115,-81.6814
6211,"CRESTVIEW",FL,30.7561,-86.5676
6268,"CROSS CITY",FL,29.6806,-83.0897
6328,"CRYSTAL BEACH",FL,28.0874,-82.7777
6335,"CRYSTAL RIVER",FL,28.9035,-82.6022
6337,"CRYSTAL SPRINGS",FL,28.1822,-82.1523
6462,"CYPRESS",FL,30.7158,-85.0784
6474,"DADE CITY",FL,28.3646,-82.1891
6573,"DANIA",FL,26.0624,-80.1597
6641,"DAVENPORT",FL,28.1593,-81.6035
6691,"DAY",FL,30.0414,-83.1231
6713,"DAYTONA BEACH",FL,29.1929,-81.0669
6731,"DE LEON SPRINGS",FL,29.1836,-81.3294
6768,"DEBARY",FL,28.8698,-81.2693
6830,"DEERFIELD BEACH",FL,26.3105,-80.1271
6845,"DEFUNIAK SPRINGS",FL,29.9505,-81.972
6854,"DELAND",FL,29.0139,-81.288
